id,x,y
466,2.36402,48.84953
467,2.36225,48.85107
468,2.43643,48.8448
469,2.43697,48.84758
470,2.27848,48.85132
471,2.279,48.85097
472,2.48938,48.83336
473,2.48326,48.83301
474,2.31909,48.89124
475,2.32121,48.89171
476,2.30951,48.85353
477,2.30953,48.85382
478,2.35185,48.83679
479,2.35117,48.83657
480,2.32777,48.8479
481,2.32816,48.84655
482,2.38519,48.84942
483,2.38475,48.85002
484,2.37003,48.83892
485,2.37074,48.83906
486,2.37169,48.83838
487,2.35982,48.89028
488,2.35788,48.89031
489,2.33327,48.85827
490,2.33322,48.85821
491,2.40606,48.83573
492,2.40643,48.83549
493,2.34952,48.88361
494,2.35123,48.88373
495,2.3404,48.85613
496,2.33992,48.85643
497,2.3648,48.88447
498,2.36338,48.88451
499,2.34046,48.8489
500,2.34176,48.84884
501,2.37422,48.82919
502,2.3745,48.82868
503,2.37329,48.8281
504,2.39221,48.83495
505,2.39002,48.83705
506,2.39304,48.83645
507,2.3942,48.83589
508,2.40806,48.83485
509,2.40826,48.83509
510,2.29107,48.85744
511,2.29174,48.85784
512,2.35172,48.8518
513,2.35221,48.85259
514,2.37549,48.82987
515,2.37692,48.82782
516,2.35902,48.89852
517,2.35918,48.89766
518,2.39021,48.83709
519,2.3912,48.8373
520,2.36623,48.8354
521,2.38693,48.84159
522,2.38585,48.8412
523,2.37025,48.90038
524,2.37027,48.89984
525,2.39058,48.85047
526,2.38899,48.85229
527,2.3557,48.86559
528,2.35598,48.86601
529,2.33007,48.8609
530,2.33066,48.86069
531,2.38178,48.82901
532,2.38245,48.82823
533,2.25533,48.87445
534,2.25512,48.87425
535,2.36622,48.8432
536,2.36638,48.84308
537,2.24752,48.81036
538,2.24711,48.81029
539,2.38156,48.84428
540,2.38155,48.84414
541,2.5184,48.83413
542,2.38052,48.83014
543,2.38056,48.82925
544,2.39149,48.83749
545,2.39498,48.83649
546,2.37137,48.85442
547,2.37198,48.85508
548,2.37202,48.85532
549,2.37106,48.85627
550,2.3507,48.85607
551,2.35113,48.85592
552,2.247,48.92739
553,2.24716,48.92678
554,2.29234,48.8507
555,2.29257,48.8509
556,2.38487,48.82811
557,2.38327,48.82737
558,2.34729,48.85719
559,2.34767,48.85754
560,2.32638,48.85634
561,2.32655,48.85644
562,2.37722,48.85105
563,2.37687,48.85053
564,2.34124,48.83161
565,2.34372,48.83092
566,2.32751,48.88339
567,2.32765,48.88344
568,2.38768,48.83649
569,2.38778,48.83651
570,2.39111,48.86382
571,2.38858,48.86318
572,2.32944,48.84211
573,2.32946,48.84204
574,2.39657,48.83255
575,2.39852,48.83363
576,2.34857,48.8794
577,2.34836,48.87948
578,2.34499,48.83496
579,2.3455,48.83758
580,2.37909,48.83186
581,2.37984,48.83106
582,2.3803,48.85796
583,2.37864,48.86031
584,2.39899,48.8363
585,2.39788,48.83541
586,2.49627,48.84924
587,2.51157,48.85241
588,2.34791,48.87068
589,2.34572,48.87104
590,2.39731,48.83775
591,2.39872,48.83843
592,2.27768,48.85086
593,2.27642,48.85008
594,2.33326,48.87294
595,2.33389,48.87157
596,2.3726,48.83757
597,2.37318,48.83788
598,2.39581,48.84778
599,2.39573,48.84734
600,2.39741,48.86337
601,2.39845,48.86243
602,2.39925,48.86144
603,2.38355,48.82923
604,2.3807,48.82804
605,2.37945,48.89584
606,2.37991,48.89596
607,2.26042,48.88454
608,2.25918,48.88191
609,2.34901,48.84999
610,2.34877,48.85027
611,2.36764,48.83217
612,2.36651,48.83148
613,2.39488,48.83363
614,2.39677,48.83463
615,2.32689,48.81026
616,2.32685,48.8104
617,2.36753,48.83021
618,2.36726,48.83002
619,2.33652,48.86291
620,2.33785,48.86256
621,2.26865,48.83241
622,2.26729,48.83358
623,2.26705,48.83362
624,2.53295,48.8471
625,2.53045,48.84616
626,2.33826,48.85153
627,2.33706,48.85146
628,2.36784,48.83038
629,2.36749,48.83043
630,2.37013,48.83305
631,2.36979,48.83275
632,2.35575,48.86897
633,2.35558,48.86901
634,2.37262,48.83501
635,2.37333,48.83534
636,2.33298,48.85362
637,2.33323,48.85369
638,2.3694,48.84685
639,2.36764,48.84802
640,2.33248,48.87147
641,2.26165,48.91437
